Year,District,Area,Zone,Population,Water_Demand_MLD,Water_Supply_MLD,Supply_Coverage_Percent,Water_Quality_Index,pH,TDS_ppm,Residual_Chlorine_mgL,Turbidity_NTU,Groundwater_Level_m_bgl,Rainfall_mm,Leakage_Percent,Non_Revenue_Water_Percent,Complaint_Count,Pipeline_Length_km,Treatment_Plant,Water_Source,Water_Quality_Status,Priority_Level
2021,Central Delhi,Paharganj,Central,81513,16.25,14.07,86.6,88.8,7.4,406,0.78,1.6,17.2,530,20.2,24.2,153,32,Haiderpur,Ganga Canal,Good,Medium
2022,Central Delhi,Paharganj,Central,82905,18.34,16.44,89.6,90.1,8.1,466,0.32,1.3,17.7,683,19.1,24.2,136,32,Bhagirathi,Ganga Canal,Good,Medium
2023,Central Delhi,Paharganj,Central,84161,18.16,16.44,90.5,91.3,7.8,509,0.29,2.2,18.1,647,18,25.9,123,32,Chandrawal,Groundwater,Good,Medium
2024,Central Delhi,Paharganj,Central,85972,17.67,16.25,91.9,92,7.2,395,0.39,1.9,18.5,659,17.2,20.3,117,32,Dwarka,Ganga Canal,Good,Medium
2025,Central Delhi,Paharganj,Central,87382,16.78,15.53,92.5,93.1,7.1,233,0.36,2.3,19,732,16.7,20.6,108,32,Bawana,Yamuna,Good,Low
2014,Central Delhi,Daryaganj,Central,75366,17.32,13.9,80.3,79.4,7.3,217,0.21,0.5,17.2,764,32.9,37.2,252,43,Dwarka,Yamuna,Poor,High
2015,Central Delhi,Daryaganj,Central,76320,17.33,14.04,81,80.9,7.1,246,0.63,2.4,17.7,777,32.1,40,251,43,Haiderpur,Yamuna,Moderate,High
2016,Central Delhi,Daryaganj,Central,77374,17.72,14.69,82.9,82.2,7.4,318,0.21,0.9,18,973,31.4,34.5,223,43,Okhla,Groundwater,Moderate,High
2017,Central Delhi,Daryaganj,Central,78728,15.74,13.14,83.5,82.9,8,459,0.44,1.4,18.4,887,30.4,36.8,225,43,Chandrawal,Ganga Canal,Moderate,High
2018,Central Delhi,Daryaganj,Central,79829,18.02,15.45,85.7,83.9,7.1,187,0.64,0.9,18.6,573,29.6,33.4,198,43,Wazirabad,Groundwater,Moderate,Medium
2019,Central Delhi,Daryaganj,Central,81458,18.27,15.84,86.7,85,7.3,260,0.2,1.1,18.8,718,28.6,33.3,189,43,Dwarka,Ganga Canal,Moderate,Medium
2020,Central Delhi,Daryaganj,Central,82634,18.77,16.22,86.4,85.8,7.8,437,0.35,2,19,795,27.9,31.3,190,43,Bawana,Yamuna,Moderate,Medium
2021,Central Delhi,Daryaganj,Central,83744,17.83,15.69,88,86.7,7.8,259,0.63,2.2,19.4,736,27.2,32.2,187,43,Haiderpur,Groundwater,Moderate,Medium
2022,Central Delhi,Daryaganj,Central,85573,16.85,15.25,90.5,87.3,7.9,399,0.69,0.6,19.9,578,26.1,31.8,171,43,Dwarka,Groundwater,Moderate,Medium
2023,Central Delhi,Daryaganj,Central,87314,19.13,17.62,92.1,88,8,372,0.54,1.7,20.2,665,25.6,31.7,142,43,Okhla,Yamuna,Moderate,Low
2024,Central Delhi,Daryaganj,Central,88788,16.99,15.83,93.2,89.4,8,309,0.71,0.8,20.6,945,25,31.8,146,43,Chandrawal,Groundwater,Good,Low
2025,Central Delhi,Daryaganj,Central,90430,18.66,17.65,94.6,90.4,7.8,503,0.25,0.6,21,508,24.1,28.3,137,43,Okhla,Groundwater,Good,Low
2014,Central Delhi,Civil Lines,Central,73495,16.25,13.12,80.8,74.2,8.2,240,0.53,1,15.3,931,28,31.4,231,49,Bhagirathi,Yamuna,Poor,High
2015,Central Delhi,Civil Lines,Central,74589,14.66,11.91,81.2,75.7,7.7,218,0.29,1.5,15.8,890,27.2,35,217,49,Chandrawal,Groundwater,Poor,High
2016,Central Delhi,Civil Lines,Central,76095,16.22,13.62,83.9,76.5,7,261,0.5,1.3,16.1,803,26.1,30.6,190,49,Chandrawal,Ganga Canal,Poor,High
2017,Central Delhi,Civil Lines,Central,77269,15.86,13.47,85,77.4,8.1,186,0.37,1.1,16.4,431,25.3,30.3,187,49,Bawana,Groundwater,Poor,High
2018,Central Delhi,Civil Lines,Central,78255,17.86,15.33,85.8,78.2,7.3,256,0.36,1.4,16.8,479,24.8,28.7,194,49,Haiderpur,Ganga Canal,Poor,Medium
2019,Central Delhi,Civil Lines,Central,79886,17.82,15.42,86.5,79.5,7.9,494,0.59,0.9,17.3,638,24.3,27.5,181,49,Dwarka,Yamuna,Poor,Medium
2020,Central Delhi,Civil Lines,Central,80981,16.82,14.52,86.3,80.8,7.4,302,0.53,1.2,17.5,691,23.1,26.9,184,49,Chandrawal,Yamuna,Moderate,Medium
2021,Central Delhi,Civil Lines,Central,82121,18.5,16.35,88.4,81.8,7.7,251,0.35,0.7,18,655,22.3,28.1,162,49,Haiderpur,Yamuna,Moderate,Medium
2022,Central Delhi,Civil Lines,Central,83408,18.44,16.3,88.4,83,7.5,287,0.4,0.4,18.3,450,21.6,25.9,161,49,Haiderpur,Yamuna,Moderate,Medium
2023,Central Delhi,Civil Lines,Central,84981,17.88,16.44,92,83.7,7.5,408,0.39,2.1,18.6,651,20.4,28.3,139,49,Chandrawal,Yamuna,Moderate,Medium
2024,Central Delhi,Civil Lines,Central,86362,18.84,17.56,93.2,84.3,8.2,419,0.35,0.5,19.1,931,19.6,23.4,125,49,Dwarka,Groundwater,Moderate,Low
2025,Central Delhi,Civil Lines,Central,87492,19.22,18.07,94,85,7.7,299,0.22,1.9,19.3,898,18.6,26.4,104,49,Okhla,Ganga Canal,Moderate,Low
2014,Central Delhi,Sadar Bazar,Central,77240,17.73,13.97,78.8,79.8,7.3,415,0.39,2.1,15.3,697,24.2,28.4,223,22,Dwarka,Yamuna,Poor,High
2015,Central Delhi,Sadar Bazar,Central,78589,15.23,12.31,80.8,80.4,7.1,395,0.34,1.2,15.8,744,23.6,28.4,219,22,Bhagirathi,Yamuna,Moderate,High
2016,Central Delhi,Sadar Bazar,Central,80078,17.57,14.38,81.8,81.2,7.2,214,0.78,1,16.2,835,22.5,29.6,204,22,Chandrawal,Ganga Canal,Moderate,High
2017,Central Delhi,Sadar Bazar,Central,81216,17.9,14.82,82.8,82.4,7.2,484,0.44,0.8,16.5,937,21.4,29.2,179,22,Chandrawal,Ganga Canal,Moderate,High
2018,Central Delhi,Sadar Bazar,Central,82232,15.98,13.48,84.4,83.6,7.2,277,0.76,1.9,17,751,20.2,23.3,174,22,Okhla,Groundwater,Moderate,High
2019,Central Delhi,Sadar Bazar,Central,83530,17.16,14.64,85.3,84.3,7.7,243,0.66,1.1,17.2,603,19.6,26.5,169,22,Haiderpur,Ganga Canal,Moderate,Medium
2020,Central Delhi,Sadar Bazar,Central,84605,18.34,15.77,86,85.1,7.5,503,0.69,2,17.7,887,18.9,22.1,149,22,Wazirabad,Ganga Canal,Moderate,Medium
2021,Central Delhi,Sadar Bazar,Central,85673,19.18,16.77,87.4,86.5,7.3,202,0.63,1,18,494,18.1,22.5,156,22,Wazirabad,Groundwater,Moderate,Medium
2022,Central Delhi,Sadar Bazar,Central,87348,19.47,17.55,90.1,87.1,7.9,377,0.75,2.1,18.3,496,17.5,21.1,133,22,Bhagirathi,Yamuna,Moderate,Medium
2023,Central Delhi,Sadar Bazar,Central,88403,19.71,17.74,90,88.3,7.1,485,0.32,2,18.6,584,16.7,21,127,22,Wazirabad,Groundwater,Good,Medium
2024,Central Delhi,Sadar Bazar,Central,89493,18.77,17.14,91.3,89.7,7.1,286,0.5,1.9,18.9,866,15.5,20.8,106,22,Chandrawal,Yamuna,Good,Medium
2025,Central Delhi,Sadar Bazar,Central,90939,19.23,18.06,93.9,91,7.3,370,0.36,1.3,19.2,554,14.8,18.8,93,22,Chandrawal,Yamuna,Good,Low
2014,Central Delhi,Patel Nagar,Central,73099,14.9,11.94,80.1,79,8,298,0.75,0.4,17.3,532,26.1,30.5,228,43,Wazirabad,Yamuna,Poor,High
2015,Central Delhi,Patel Nagar,Central,74114,17.26,14.07,81.5,79.9,8.1,520,0.26,1.6,17.6,506,25,31.1,208,43,Chandrawal,Yamuna,Poor,High
2016,Central Delhi,Patel Nagar,Central,75276,14.97,12.16,81.2,80.5,7.5,347,0.42,1.7,18.1,691,24,27.3,198,43,Wazirabad,Ganga Canal,Moderate,High
2017,Central Delhi,Patel Nagar,Central,76591,14.98,12.28,82,81.7,7.5,263,0.36,2.5,18.5,834,23.3,29.7,211,43,Bhagirathi,Yamuna,Moderate,High
2018,Central Delhi,Patel Nagar,Central,77749,16.69,14.06,84.2,82.4,7.5,280,0.44,2.4,18.9,856,22.3,27.5,193,43,Chandrawal,Ganga Canal,Moderate,High
2019,Central Delhi,Patel Nagar,Central,78770,15.45,13.34,86.3,83.4,7.8,252,0.75,0.5,19.1,803,21.7,27.8,175,43,Haiderpur,Groundwater,Moderate,Medium
2020,Central Delhi,Patel Nagar,Central,80112,15.86,13.69,86.3,84.1,7.2,334,0.77,2.4,19.4,963,21.1,26.6,162,43,Wazirabad,Groundwater,Moderate,Medium
2021,Central Delhi,Patel Nagar,Central,81815,16.89,15.2,90,85.3,8,280,0.31,0.8,19.8,594,20,25,149,43,Dwarka,Yamuna,Moderate,Medium
2022,Central Delhi,Patel Nagar,Central,83110,16.33,14.47,88.6,85.9,7.1,345,0.56,1.5,20.2,627,19.2,25.3,136,43,Haiderpur,Groundwater,Moderate,Medium
2023,Central Delhi,Patel Nagar,Central,84456,17.95,16.25,90.5,86.9,7.6,430,0.47,1.7,20.5,806,18.3,25.4,139,43,Bawana,Yamuna,Moderate,Medium
2024,Central Delhi,Patel Nagar,Central,86154,17.71,15.99,90.3,87.9,7,516,0.58,0.5,20.8,797,17.8,24.4,135,43,Bawana,Groundwater,Moderate,Medium
2025,Central Delhi,Patel Nagar,Central,87628,16.94,15.79,93.2,89.1,7.9,494,0.69,0.7,21,816,16.7,24.6,99,43,Bhagirathi,Ganga Canal,Good,Low
2014,Central Delhi,Rajendra Place,Central,71420,14.61,11.59,79.3,80.6,7.7,286,0.57,0.8,15.8,711,25.4,30.3,230,40,Chandrawal,Yamuna,Moderate,High
2015,Central Delhi,Rajendra Place,Central,72565,15.97,12.83,80.3,82,7.1,451,0.71,2.4,16.2,765,24.8,30,210,40,Dwarka,Groundwater,Moderate,High
2016,Central Delhi,Rajendra Place,Central,73935,17,13.84,81.4,83.2,8.2,372,0.55,1.1,16.6,978,24,30.8,205,40,Bhagirathi,Yamuna,Moderate,High
2017,Central Delhi,Rajendra Place,Central,74952,16.72,13.68,81.8,84,8.1,519,0.64,1.9,17.1,958,23.1,27.2,209,40,Haiderpur,Groundwater,Moderate,High
2018,Central Delhi,Rajendra Place,Central,76320,15.99,13.47,84.3,84.7,7,207,0.41,0.5,17.5,478,22.4,27.2,174,40,Chandrawal,Ganga Canal,Moderate,High
2019,Central Delhi,Rajendra Place,Central,77681,16.75,14.21,84.8,85.5,7.1,410,0.58,2.2,18,916,21.9,28.8,172,40,Bhagirathi,Ganga Canal,Moderate,High
2020,Central Delhi,Rajendra Place,Central,79364,15.45,13.67,88.5,86.6,7.3,432,0.74,0.4,18.4,788,21,26.6,159,40,Bhagirathi,Yamuna,Moderate,Medium
2021,Central Delhi,Rajendra Place,Central,80504,15.67,14.03,89.5,87.8,7.6,282,0.59,1.7,18.6,442,20,25.1,145,40,Dwarka,Yamuna,Moderate,Medium
2022,Central Delhi,Rajendra Place,Central,81879,15.93,14.35,90.1,89,7.9,221,0.47,0.8,19.1,919,19.5,23,141,40,Chandrawal,Groundwater,Good,Medium
2023,Central Delhi,Rajendra Place,Central,82893,16.93,15.54,91.8,90.3,8.2,447,0.38,2.3,19.4,699,18.8,26.3,127,40,Wazirabad,Groundwater,Good,Medium
2024,Central Delhi,Rajendra Place,Central,83900,16.88,15.35,90.9,91.7,7.7,348,0.43,2.2,19.7,637,17.8,25.4,127,40,Okhla,Groundwater,Good,Medium
2025,Central Delhi,Rajendra Place,Central,85300,18.87,17.74,94,92.7,7.5,288,0.55,1.5,20.1,457,16.8,20.7,102,40,Wazirabad,Yamuna,Good,Low
2014,Central Delhi,Delhi Gate,Central,70594,13.8,10.84,78.6,82.5,7.2,366,0.77,1.5,11.1,473,26.4,32.8,242,27,Bawana,Groundwater,Moderate,High
2015,Central Delhi,Delhi Gate,Central,72107,14.3,11.44,80,83.1,8,224,0.58,0.9,11.5,544,25.3,28.8,230,27,Wazirabad,Groundwater,Moderate,High
2016,Central Delhi,Delhi Gate,Central,73120,15.12,12.41,82.1,84.1,7.9,344,0.56,1.3,11.8,451,24.1,28.6,204,27,Okhla,Yamuna,Moderate,High
2017,Central Delhi,Delhi Gate,Central,74574,14.52,12.15,83.7,85,7.7,226,0.37,1.3,12.1,530,23.1,28.7,186,27,Haiderpur,Yamuna,Moderate,High
2018,Central Delhi,Delhi Gate,Central,75472,16.06,13.61,84.8,86.4,7.7,313,0.3,2.1,12.6,618,22.2,29.9,186,27,Chandrawal,Ganga Canal,Moderate,High
2019,Central Delhi,Delhi Gate,Central,76502,17.59,15.32,87.1,87.8,7.4,347,0.44,1.2,13,932,21.2,28.7,172,27,Wazirabad,Ganga Canal,Moderate,Medium
2020,Central Delhi,Delhi Gate,Central,78099,15.13,13.02,86,88.7,8.1,299,0.28,1.6,13.3,699,20.3,26.8,175,27,Dwarka,Groundwater,Good,Medium
2021,Central Delhi,Delhi Gate,Central,79062,16.98,15.03,88.5,89.9,7.7,311,0.28,1.3,13.5,891,19.3,26.7,150,27,Chandrawal,Groundwater,Good,Medium
2022,Central Delhi,Delhi Gate,Central,80162,16.33,14.76,90.4,91.2,7.4,447,0.34,2.4,14,588,18.1,22.4,139,27,Okhla,Yamuna,Good,Medium
2023,Central Delhi,Delhi Gate,Central,81255,17.6,15.77,89.6,92.7,7.2,320,0.58,0.5,14.4,584,17.1,21.1,133,27,Bhagirathi,Ganga Canal,Good,Medium
2024,Central Delhi,Delhi Gate,Central,82257,17,15.84,93.2,93.7,7.7,311,0.44,1.9,14.7,657,16.1,23.7,99,27,Bhagirathi,Groundwater,Good,Low
2025,Central Delhi,Delhi Gate,Central,83716,18.32,17.02,92.9,94.9,8,478,0.61,1.7,15.2,664,15.2,20.5,113,27,Haiderpur,Ganga Canal,Good,Low
2014,Central Delhi,Minto Road,Central,70049,14.88,11.88,79.8,75.5,7.9,347,0.43,1.4,17.6,849,27,34.9,239,28,Wazirabad,Ganga Canal,Poor,High
2015,Central Delhi,Minto Road,Central,71270,14.31,11.78,82.3,76.6,7.9,284,0.51,1.7,18,634,26.5,33.6,218,28,Dwarka,Ganga Canal,Poor,High
2016,Central Delhi,Minto Road,Central,72417,16.88,13.71,81.2,77.5,7.8,362,0.35,1.1,18.2,618,25.4,28.7,223,28,Wazirabad,Ganga Canal,Poor,High
2017,Central Delhi,Minto Road,Central,73948,16.2,13.66,84.3,78.2,8.2,292,0.78,1.3,18.5,701,24.7,28.5,199,28,Bawana,Yamuna,Poor,High
2018,Central Delhi,Minto Road,Central,75434,16.48,13.95,84.7,79.5,8.2,419,0.66,1.7,18.9,661,24.1,31,191,28,Bhagirathi,Ganga Canal,Poor,High
2019,Central Delhi,Minto Road,Central,76930,15.54,13.49,86.8,81,7.3,363,0.38,1.4,19.3,689,23.1,28.3,169,28,Okhla,Yamuna,Moderate,Medium
2020,Central Delhi,Minto Road,Central,78360,16.19,14.4,88.9,81.7,8,451,0.58,0.3,19.8,824,22.1,25.1,148,28,Wazirabad,Groundwater,Moderate,Medium
2021,Central Delhi,Minto Road,Central,79529,17.14,15.21,88.7,82.4,8,386,0.3,2.3,20.2,669,21.2,27.3,148,28,Bawana,Yamuna,Moderate,Medium
2022,Central Delhi,Minto Road,Central,81014,18.26,16.57,90.8,83.2,7.7,239,0.36,0.8,20.6,734,20.3,24,140,28,Bhagirathi,Groundwater,Moderate,Medium
2023,Central Delhi,Minto Road,Central,82033,17.17,15.35,89.4,84,8,262,0.48,1.5,20.9,933,19.6,26,132,28,Bawana,Ganga Canal,Moderate,Medium
2024,Central Delhi,Minto Road,Central,83324,17.25,16.19,93.8,84.8,7.1,492,0.64,2.5,21.3,507,18.9,25.9,102,28,Wazirabad,Groundwater,Moderate,Low
2025,Central Delhi,Minto Road,Central,84727,18.52,17,91.8,86.1,7.6,354,0.52,2,21.6,648,18,22,122,28,Bhagirathi,Ganga Canal,Moderate,Medium
2014,Central Delhi,Shakti Nagar,Central,75872,15.87,12.7,80,73.9,7.4,240,0.39,1,12.3,708,26.2,32.1,229,40,Okhla,Yamuna,Poor,High
2015,Central Delhi,Shakti Nagar,Central,77377,15.05,12.35,82.1,75,7.2,203,0.75,1.6,12.6,845,25.6,31.9,199,40,Bawana,Groundwater,Poor,High
2016,Central Delhi,Shakti Nagar,Central,79009,17.06,14.14,82.9,75.8,7.8,231,0.72,1.2,12.9,514,24.6,28.2,196,40,Okhla,Yamuna,Poor,High
2017,Central Delhi,Shakti Nagar,Central,80248,17.91,15.18,84.7,77.2,7.7,400,0.55,2.3,13.1,694,24,29.5,177,40,Dwarka,Yamuna,Poor,High
2018,Central Delhi,Shakti Nagar,Central,81872,18.06,15.26,84.5,78.2,8.2,517,0.49,1.2,13.4,844,23.5,27,195,40,Okhla,Ganga Canal,Poor,High
2019,Central Delhi,Shakti Nagar,Central,83028,16.4,13.79,84.1,78.8,8,291,0.28,0.3,13.9,434,22.5,29.1,177,40,Chandrawal,Ganga Canal,Poor,High
2020,Central Delhi,Shakti Nagar,Central,84633,16.8,14.35,85.4,80,7.8,415,0.73,2.3,14.3,578,22,25.2,180,40,Wazirabad,Yamuna,Moderate,Medium
2021,Central Delhi,Shakti Nagar,Central,85699,19.08,17.01,89.1,81,7.1,491,0.42,1.6,14.7,511,21.3,26.5,155,40,Okhla,Yamuna,Moderate,Medium
2022,Central Delhi,Shakti Nagar,Central,86851,19.03,16.95,89.1,82.2,7.9,319,0.54,0.9,15,597,20.5,23.8,151,40,Okhla,Groundwater,Moderate,Medium
2023,Central Delhi,Shakti Nagar,Central,88589,18.75,17.3,92.3,83.5,7.5,306,0.61,1.6,15.3,445,19.5,27,127,40,Bawana,Ganga Canal,Moderate,Low
2024,Central Delhi,Shakti Nagar,Central,89903,17.19,15.65,91.1,84.2,8,327,0.69,2.2,15.7,862,18.4,24.3,118,40,Haiderpur,Groundwater,Moderate,Medium
2025,Central Delhi,Shakti Nagar,Central,91597,20.23,18.73,92.6,85.3,7.7,338,0.61,1.3,16,517,17.6,21.6,111,40,Haiderpur,Groundwater,Moderate,Low
2014,Central Delhi,Kamla Nagar,Central,68931,14.11,11.33,80.3,78,7.2,283,0.32,0.7,16.7,695,24,30.5,222,40,Haiderpur,Groundwater,Poor,High
2015,Central Delhi,Kamla Nagar,Central,70147,14.83,12.05,81.3,78.8,7.8,370,0.67,0.6,17,582,22.9,28.9,196,40,Haiderpur,Ganga Canal,Poor,High
2016,Central Delhi,Kamla Nagar,Central,71353,13.91,11.2,80.5,79.9,7.1,398,0.47,1.6,17.5,927,22.2,28.3,203,40,Chandrawal,Ganga Canal,Poor,High
2017,Central Delhi,Kamla Nagar,Central,72811,15.12,12.94,85.6,80.6,8.1,429,0.75,0.4,17.9,817,21.7,27.7,177,40,Bhagirathi,Yamuna,Moderate,Medium
2018,Central Delhi,Kamla Nagar,Central,74199,14.63,12.3,84.1,81.8,7.5,273,0.3,2.4,18.3,668,20.5,28.5,179,40,Chandrawal,Yamuna,Moderate,High
2019,Central Delhi,Kamla Nagar,Central,75118,15.29,13.06,85.4,83.1,7.1,427,0.29,2,18.7,458,20,27.7,177,40,Okhla,Groundwater,Moderate,Medium
2020,Central Delhi,Kamla Nagar,Central,76243,16.5,14.56,88.2,84.2,7.5,426,0.46,2.1,19,537,19.2,26.8,148,40,Wazirabad,Ganga Canal,Moderate,Medium
2021,Central Delhi,Kamla Nagar,Central,77704,15.57,13.47,86.5,84.8,8.1,408,0.76,1.1,19.3,655,18.3,21.4,147,40,Wazirabad,Ganga Canal,Moderate,Medium
2022,Central Delhi,Kamla Nagar,Central,79391,16.26,14.4,88.5,86,7.9,272,0.53,0.6,19.6,548,17.7,25,130,40,Haiderpur,Ganga Canal,Moderate,Medium
2023,Central Delhi,Kamla Nagar,Central,80670,15.99,14.37,89.9,86.9,8.1,413,0.27,2.5,19.9,733,17.1,20.4,128,40,Bawana,Groundwater,Moderate,Medium
2024,Central Delhi,Kamla Nagar,Central,82384,17.51,16.34,93.3,87.7,8.1,302,0.26,0.9,20.3,552,16.4,23.9,103,40,Wazirabad,Groundwater,Moderate,Low
2025,Central Delhi,Kamla Nagar,Central,84178,16.59,15.55,93.8,89.1,7.3,449,0.42,0.4,20.5,882,15.7,20.7,90,40,Haiderpur,Groundwater,Good,Low
2014,Central Delhi,IP Estate,Central,71388,14.09,11.04,78.3,75.1,7.7,278,0.32,0.4,11.3,937,31.1,37.7,264,29,Bhagirathi,Groundwater,Poor,High
2015,Central Delhi,IP Estate,Central,72898,15.68,12.64,80.6,76.4,8.1,389,0.49,2.2,11.7,718,30,34.3,226,29,Chandrawal,Groundwater,Poor,High
2016,Central Delhi,IP Estate,Central,74379,15.49,12.56,81.1,77.6,7.1,444,0.41,0.8,12,810,28.9,36,233,29,Haiderpur,Groundwater,Poor,High
2017,Central Delhi,IP Estate,Central,75917,16.39,13.96,85.2,78.9,7.6,193,0.52,0.3,12.3,728,27.7,35.5,205,29,Chandrawal,Groundwater,Poor,Medium
2018,Central Delhi,IP Estate,Central,76966,15.16,12.7,83.8,79.6,8,189,0.58,1.3,12.8,460,26.6,30.8,201,29,Bhagirathi,Yamuna,Poor,High
2019,Central Delhi,IP Estate,Central,78159,15.35,13,84.7,80.3,7.1,236,0.44,0.6,13.1,709,25.7,31.7,192,29,Bawana,Yamuna,Moderate,High
2020,Central Delhi,IP Estate,Central,79211,16.98,14.97,88.2,81.7,8,485,0.52,1.2,13.5,598,25.2,32.9,174,29,Bawana,Ganga Canal,Moderate,Medium
2021,Central Delhi,IP Estate,Central,80429,16.2,14.21,87.7,83.1,8,385,0.23,1.4,14,876,24.3,32.1,170,29,Haiderpur,Yamuna,Moderate,Medium
2022,Central Delhi,IP Estate,Central,82094,17.77,15.57,87.6,84.2,7.3,190,0.45,1.2,14.3,541,23.8,31.7,175,29,Bhagirathi,Groundwater,Moderate,Medium
2023,Central Delhi,IP Estate,Central,83117,18.9,17.52,92.7,84.8,7.8,319,0.68,0.4,14.6,471,22.8,26.3,144,29,Wazirabad,Groundwater,Moderate,Low
2024,Central Delhi,IP Estate,Central,84125,16.85,15.19,90.2,85.7,8.1,443,0.25,1.6,14.9,545,21.9,29.5,155,29,Bhagirathi,Yamuna,Moderate,Medium
2025,Central Delhi,IP Estate,Central,85564,19.06,18.08,94.9,86.5,7.7,412,0.54,1.7,15.3,725,20.8,24.8,113,29,Okhla,Ganga Canal,Moderate,Low
2014,Central Delhi,Rani Jhansi Rd,Central,75919,15.67,12.34,78.8,76.5,7.4,302,0.4,0.9,17.6,822,28,35.4,234,37,Chandrawal,Ganga Canal,Poor,High
2015,Central Delhi,Rani Jhansi Rd,Central,76873,14.9,12.13,81.4,77.5,7.9,361,0.27,0.8,17.9,786,27.5,35.3,225,37,Okhla,Yamuna,Poor,High
2016,Central Delhi,Rani Jhansi Rd,Central,78115,17.07,13.82,81,78.7,7.9,228,0.65,2,18.4,637,26.4,31.7,225,37,Bawana,Groundwater,Poor,High
2017,Central Delhi,Rani Jhansi Rd,Central,79605,18.07,14.84,82.1,79.3,8.2,383,0.54,1.2,18.8,535,25.3,32.2,213,37,Bawana,Groundwater,Poor,High
2018,Central Delhi,Rani Jhansi Rd,Central,81043,16.73,14.16,84.6,80.1,7.7,464,0.59,0.3,19.1,898,24.6,31.3,196,37,Bhagirathi,Ganga Canal,Moderate,High
2019,Central Delhi,Rani Jhansi Rd,Central,82375,16.38,13.96,85.2,81.1,8.2,345,0.56,0.8,19.3,578,23.8,28.4,183,37,Bhagirathi,Yamuna,Moderate,Medium
